,DIST_NAME,INCOME,,,DIST_NAME_other spreadsheet (MikesData)
295,Teaneck Township School District,106411,,,Newark Public School District
296,Tenafly Borough School District,153906,,,Newark Public School District
297,Toms River Regional School District,75500,,,Newark Public School District
298,Trenton City School District,35524,,,Gloucester County Special Services School District
299,Union Beach Borough School District,77324,,,Gloucester County Special Services School District
300,Union City School District,43424,,,Hudson County Schools Of Technology School District
301,Barnegat Township School District,69877,,,Hudson County Schools Of Technology School District
302,Union Township School District,79324,,,Hudson County Schools Of Technology School District
303,Upper Freehold Regional School District,123375,,,Union City School District
304,Upper Pittsgrove Township School District,95489,,,Edison Township School District
305,Upper Township School District,81541,,,Edison Township School District
306,Ventnor City City School District,52799,,,Monroe Township School District
307,Vernon Township School District,90805,,,Monmouth County Vocational School District
308,Verona Borough School District,113423,,,Monmouth-Ocean Educational Services Commission School District
309,Vineland City School District,51113,,,Little Egg Harbor Township School District
310,Waldwick Borough School District,115591,,,Paterson Public School District
311,Wall Township School District,101983,,,Paterson Public School District
312,Wallington Borough School District,62648,,,Salem City School District
313,Washington Township School District (Burlington County),67143,,,Salem County Special Services School District
314,Washington Township School District (Gloucester County),91149,,,Salem County Special Services School District
315,Robbinsville Township School District,137313,,,Sparta Township Public School District
316,Waterford Township School District,89898,,,Roselle Public Schools
317,Wayne Township School District,108092,,,Middlesex County Vocational And Technical School District
318,Weehawken Township School District,84841,,,Paterson Public School District
319,West Deptford Township School District,71705,,,Paterson Public School District
320,West Milford Township School District,98843,,,Northvale Public School District
321,West New York Town School District,50477,,,Newark Public School District
322,West Orange Town School District,93954,,,Union City School District
323,West Wildwood Borough School District,52396,,,Paterson Public School District
324,West Windsor-Plainsboro Regional School District,125938,,,Paterson Public School District
325,Westfield Town School District,159923,,,New Brunswick School District
326,Westwood Regional School District,106449,,,Montgomery Township School District
327,Weymouth Township School District,61111,,,New Brunswick School District
328,White Township School District,63663,,,New Brunswick School District
329,Wildwood City School District,29945,,,Clark Township Public School District
330,Wildwood Crest Borough School District,59436,,,Lyndhurst School District
331,Willingboro Township School District,70967,,,Wood-Ridge School District
332,Winfield Township School District,59153,,,Newark Public School District
333,Winslow Township School District,76640,,,Elizabeth Public Schools
334,Woodbine Borough School District,41111,,,Newark Public School District
335,Woodbridge Township School District,83266,,,Hoboken Public School District
336,Woodbury City School District,53618,,,Jersey City Public Schools
337,Woodlynne Borough School District,45201,,,Marie H. Katzenbach School For The Deaf
338,Wood-Ridge Borough School District,102283,,,Marie H. Katzenbach School For The Deaf
339,Woodstown-Pilesgrove Regional School District,80152,,,New Brunswick School District
340,Joint Base McGuire-Dix-Lakehurst,62031,,,Morris County Vocational School District
341,Remainder of New Jersey,91782,,,Paterson Public School District
,,,,,Paterson Public School District
,,,,,Paterson Public School District
,,,,,Elizabeth Public Schools
,,,,,Elizabeth Public Schools
,,,,,Union County Vocational-Technical School District
,,,,,Burlington County Special Services School District
,,,,,"Mastery Schools Of Camden, Inc. "
,,,,,"Mastery Schools Of Camden, Inc. "
,,,,,Team Academy Charter School
,,,,,Team Academy Charter School
,,,,,Team Academy Charter School
,,,,,Team Academy Charter School
,,,,,Marion P. Thomas Charter School
,,,,,Marion P. Thomas Charter School
,,,,,Marion P. Thomas Charter School
,,,,,Foundation Academy Charter School
,,,,,North Star Academy Charter School
,,,,,North Star Academy Charter School
,,,,,North Star Academy Charter School
,,,,,North Star Academy Charter School
,,,,,North Star Academy Charter School
,,,,,North Star Academy Charter School
,,,,,North Star Academy Charter School
,,,,,North Star Academy Charter School
,,,,,North Star Academy Charter School
,,,,,North Star Academy Charter School
,,,,,North Star Academy Charter School
,,,,,Bergen Arts And Sciences Charter School
,,,,,Bergen Arts And Sciences Charter School
,,,,,Passaic Arts And Science Charter School
,,,,,Passaic Arts And Science Charter School
,,,,,Camden'S Promise Charter School
,,,,,Camden'S Promise Charter School
,,,,,Leap Academy University Charter School
,,,,,Leap Academy University Charter School
,,,,,Leap Academy University Charter School
,,,,,Robert Treat Academy Charter School
,,,,,Team Academy Charter School
,,,,,Team Academy Charter School
,,,,,Team Academy Charter School
,,,,,Team Academy Charter School
,,,,,Hoboken Charter School
,,,,,Pace Charter School Of Hamilton
,,,,,Pace Charter School Of Hamilton
,,,,,Community Charter School Of Paterson
,,,,,Community Charter School Of Paterson
,,,,,Paterson Charter School For Science/Technology
,,,,,College Achieve Central Charter School
,,,,,Perth Amboy City
,,,,,Marlboro Twp
,,,,,Long Branch City
,,,,,Long Branch City
,,,,,Pemberton Township School District
,,,,,Pemberton Township School District
,,,,,Willingboro Public School District
,,,,,Newark Public School District
,,,,,Jersey City Public Schools
,,,,,Union City School District
,,,,,Area Vocational Technical Schools Of Mercer County
,,,,,Area Vocational Technical Schools Of Mercer County
,,,,,Area Vocational Technical Schools Of Mercer County
,,,,,Perth Amboy Public School District
,,,,,Morris County Vocational School District
,,,,,Union County Educational Services Commission
,,,,,Achieve Community Charter School
,,,,,Lead Charter School
,,,,,Livingston
,,,,,Wayne Township
,,,,,East Orange
,,,,,Lakewood
,,,,,Lakewood
,,,,,Lakewood
,,,,,Egg Harbor Twp
,,,,,Jersey City
,,,,,Montclair
,,,,,Hainesport
,,,,,Jackson Township
,,,,,Willingboro
,,,,,Montvale
,,,,,Washington Borough
,,,,,Harrison
,,,,,Lakewood
,,,,,Franklin
,,,,,Lakewood
,,,,,Lakewood
,,,,,Edison
,,,,,Lakewood
,,,,,Union
,,,,,Berlin Township
,,,,,Elizabeth Public Schools
,,,,,Beverly
,,,,,Passaic
,,,,,Randolph
,,,,,Teaneck
,,,,,Trenton
,,,,,Edison
,,,,,Cherry Hill
,,,,,Jersey City
,,,,,Jersey City
,,,,,Pemberton
,,,,,Newark
,,,,,Westfield
,,,,,Lakewood
,,,,,Vineland Public School District
,,,,,College Achieve Central Charter School
,,,,,Trenton Public School District
,,,,,College Achieve Greater Asbury Park Charter School
,,,,,Ocean Academy Charter School
,,,,,Lakewood Twp
,,,,,Cliffside Park 
,,,,,Hillsborough Twp 
,,,,,Lakewood Twp
,,,,,Lakewood Twp
,,,,,Voorhees Township School District
,,,,,Linden
,,,,,Williamstown
,,,,,Orange
,,,,,Howell Twp
,,,,,Bergenfield Boro
,,,,,Bloomfield Township School District
,,,,,Manalapan-Englishtown Reg
,,,,,Lakewood Twp
,,,,,College Achieve Paterson Charter School
,,,,,Lakewood Twp
,,,,,Spring Lake Heights School District
,,,,,Hillsborough Twp
,,,,,Montgomery Township School District
,,,,,Jersey City
,,,,,Totowa Boro
,,,,,Totowa Boro
,,,,,Ridgewood Village
,,,,,Princeton Regional
,,,,,Newark City
,,,,,Franklin Twp
,,,,,Lakewood Twp
,,,,,Lakewood Twp
,,,,,Bridgewater-Raritan 
,,,,,Pitman Boro 
,,,,,Lakewood Twp
,,,,,Teaneck Twp
,,,,,Fort Lee Boro
,,,,,Union City
,,,,,Springfield Twp
,,,,,Lakewood
,,,,,Lakewood Twp
,,,,,Rutherford Boro
,,,,,Somerset Hills Regional
,,,,,Paramus Boro
,,,,,Tenafly Boro
,,,,,Edison Twp
,,,,,Franklin Lakes Boro
,,,,,Lakewood Twp
,,,,,Lakewood Twp
,,,,,Egg Harbor Twp
,,,,,Lakewood Twp
,,,,,Manchester Township School District
,,,,,Wyckoff Twp
,,,,,Lakewood Twp
,,,,,Carteret Boro
,,,,,Lakewood
,,,,,Garfield Public School District
,,,,,Pemberton Township School District
,,,,,Willingboro Public School District
,,,,,Gloucester City Public School District
,,,,,Vineland Public School District
,,,,,Caldwell-West Caldwell School District
,,,,,Livingston Board Of Education School District
,,,,,Millburn Township School District
,,,,,South Orange-Maplewood School District
,,,,,West Orange Public Schools
,,,,,Hunterdon County Vocational School District
,,,,,TRENTON PUBLIC SCHOOL DISTRICT
,,,,,Morris County Vocational School District
,,,,,Passaic City School District
,,,,,Franklin Township Public Schools
,,,,,Lakewood Twp
,,,,,Hoboken City
,,,,,Middletown Twp
,,,,,Clifton City
,,,,,Woodbridge Twp
,,,,,Willingboro Public School District
,,,,,Newark Public School District
,,,,,Woodbridge Township School District
,,,,,Hillsdale Boro
,,,,,Morris School District
,,,,,Toms River
,,,,,Ewing Township 
,,,,,Middlesex County STEM Charter School
,,,,,Paterson Public School District
,,,,,Benjamin Banneker Preparatory Charter School
,,,,,Galloway Twp
,,,,,North Star Academy Charter School
,,,,,Hunterdon County Vocational School District
,,,,,Hunterdon County Vocational School District
,,,,,Jersey City
,,,,,East Orange School District
,,,,,East Orange School District
,,,,,East Orange School District
,,,,,East Orange School District
,,,,,East Orange School District
,,,,,East Orange School District
,,,,,East Orange School District
,,,,,East Orange School District
,,,,,Essex Regional Educational Services Commission
,,,,,Essex County Vocational Technical Schools
,,,,,Essex County Vocational Technical Schools
,,,,,Essex County Vocational Technical Schools
,,,,,Essex Fells School District
,,,,,Fairfield Public Schools School District
,,,,,Fairfield Public Schools School District
,,,,,Glen Ridge Public School District
,,,,,West Orange Public Schools
,,,,,West Orange Public Schools
,,,,,West Orange Public Schools
,,,,,West Orange Public Schools
,,,,,West Orange Public Schools
,,,,,Bridgeton City School District
,,,,,Bridgeton City School District
,,,,,Bridgeton City School District
,,,,,Bridgeton City School District
,,,,,Bridgeton City School District
,,,,,Bridgeton City School District
,,,,,Bridgeton City School District
,,,,,Commercial Township School District
,,,,,Commercial Township School District
,,,,,Cumberland County Board of Vocational Education
,,,,,Cumberland Regional School District
,,,,,Deerfield Township School District
,,,,,Downe Township School District
,,,,,Greenwich Township School District
,,,,,Hopewell Township School District
,,,,,Lawrence Township School District
,,,,,Maurice River Township School District
,,,,,Millville School District
,,,,,Millville School District
,,,,,Millville School District
,,,,,Millville School District
,,,,,Millville School District
,,,,,Millville School District
,,,,,Holmdel Township School District
,,,,,Howell Township Public School District
,,,,,Educational Services Commission Of Morris County
,,,,,Educational Services Commission Of Morris County
,,,,,Florham Park School District
,,,,,Florham Park School District
,,,,,Florham Park School District
,,,,,Hanover Park Regional High School District
,,,,,Pequannock Township School District
,,,,,Randolph Township School District
,,,,,Randolph Township School District
,,,,,Randolph Township School District
,,,,,Randolph Township School District
,,,,,Randolph Township School District
,,,,,Randolph Township School District
,,,,,Riverdale School District
,,,,,Rockaway Borough School District
,,,,,Rockaway Borough School District
,,,,,Rockaway Township School District
,,,,,Rockaway Township School District
,,,,,Rockaway Township School District
,,,,,Rockaway Township School District
,,,,,Rockaway Township School District
,,,,,Rockaway Township School District
,,,,,Roxbury Township School District
,,,,,Roxbury Township School District
,,,,,Roxbury Township School District
,,,,,Roxbury Township School District
,,,,,Roxbury Township School District
,,,,,Hanover Park Regional High School District
,,,,,Hanover Township School District
,,,,,Hanover Township School District
,,,,,Hanover Township School District
,,,,,Hanover Township School District
,,,,,Harding Township School District
,,,,,Jefferson Township Public School District
,,,,,Jefferson Township Public School District
,,,,,Jefferson Township Public School District
,,,,,Jefferson Township Public School District
,,,,,Jefferson Township Public School District
,,,,,Jefferson Township Public School District
,,,,,Jefferson Township Public School District
,,,,,Kinnelon School District
,,,,,Kinnelon School District
,,,,,Montville Township School District
,,,,,Montville Township School District
,,,,,Montville Township School District
,,,,,Montville Township School District
,,,,,Morris County Vocational School District
,,,,,Vineland Public School District
