,DISTRICT_CODE,SCHOOL_CODE,SCH_RAT,DIST_RAT,DS_CODE
612,4110,100,9:1,11:1,4110-100
613,4590,20,8:1,12:1,4590-20
614,4590,30,15:1,12:1,4590-30
615,4590,40,13:1,12:1,4590-40
616,4790,20,10:1,10:1,4790-20
617,5035,50,13:1,13:1,5035-50
618,5080,45,10:1,11:1,5080-45
619,5080,60,11:1,11:1,5080-60
620,5400,20,12:1,13:1,5400-20
621,5400,55,12:1,13:1,5400-55
622,5400,90,12:1,13:1,5400-90
623,5400,95,13:1,13:1,5400-95
624,5400,100,12:1,13:1,5400-100
625,5560,40,8:1,11:1,5560-40
626,5560,60,11:1,11:1,5560-60
627,5560,100,11:1,11:1,5560-100
628,5820,10,11:1,10:1,5820-10
629,5820,20,9:1,10:1,5820-20
630,5820,30,10:1,10:1,5820-30
631,5820,40,11:1,10:1,5820-40
632,5820,50,13:1,10:1,5820-50
633,5820,60,11:1,10:1,5820-60
634,5820,70,10:1,10:1,5820-70
635,5820,80,9:1,10:1,5820-80
636,5900,50,11:1,11:1,5900-50
637,170,10,5:1,5:1,170-10
638,710,50,7:1,7:1,710-50
639,715,20,4:1,6:1,715-20
640,715,95,6:1,6:1,715-95
641,720,30,9:1,9:1,720-30
642,1080,40,9:1,8:1,1080-40
643,1080,50,7:1,8:1,1080-50
644,2820,50,11:1,11:1,2820-50
645,2820,60,10:1,11:1,2820-60
646,2840,50,11:1,12:1,2840-50
647,2840,60,12:1,12:1,2840-60
648,2840,70,12:1,12:1,2840-70
649,2840,80,11:1,12:1,2840-80
650,3130,50,11:1,12:1,3130-50
651,3130,80,13:1,12:1,3130-80
652,3130,85,12:1,12:1,3130-85
653,3130,91,12:1,12:1,3130-91
654,3680,60,5:1,5:1,3680-60
655,3780,50,13:1,11:1,3780-50
656,3780,60,11:1,11:1,3780-60
657,3780,70,11:1,11:1,3780-70
658,5060,50,5:1,5:1,5060-50
659,5340,30,11:1,11:1,5340-30
660,5340,50,11:1,11:1,5340-50
661,5340,55,11:1,11:1,5340-55
662,5610,50,9:1,9:1,5610-50
663,5790,50,6:1,9:1,5790-50
664,5790,60,12:1,9:1,5790-60
665,5790,70,10:1,9:1,5790-70
666,5800,30,8:1,8:1,5800-30
667,5840,50,10:1,10:1,5840-50
668,540,20,12:1,13:1,540-20
669,540,30,11:1,13:1,540-30
670,540,50,13:1,13:1,540-50
671,540,55,11:1,13:1,540-55
672,540,60,13:1,13:1,540-60
673,540,100,12:1,13:1,540-100
674,540,130,12:1,13:1,540-130
675,540,150,10:1,13:1,540-150
676,950,25,12:1,12:1,950-25
677,950,50,12:1,12:1,950-50
678,995,30,12:1,12:1,995-30
679,997,30,14:1,14:1,997-30
680,1020,40,10:1,10:1,1020-40
681,1120,45,11:1,11:1,1120-45
682,1460,70,10:1,10:1,1460-70
683,1820,60,7:1,7:1,1820-60
684,2270,60,13:1,13:1,2270-60
685,2570,30,11:1,11:1,2570-30
686,3050,65,11:1,11:1,3050-65
687,3230,50,13:1,13:1,3230-50
688,3230,60,13:1,13:1,3230-60
689,3230,65,13:1,13:1,3230-65
690,3230,68,14:1,13:1,3230-68
691,3230,75,14:1,13:1,3230-75
692,3230,77,13:1,13:1,3230-77
693,3230,80,13:1,13:1,3230-80
694,3230,85,12:1,13:1,3230-85
695,3230,100,12:1,13:1,3230-100
696,5070,50,8:1,8:1,5070-50
697,5300,50,9:1,11:1,5300-50
698,5300,60,8:1,11:1,5300-60
699,5300,70,11:1,11:1,5300-70
700,5390,50,13:1,14:1,5390-50
701,5390,60,12:1,14:1,5390-60
702,5390,65,13:1,14:1,5390-65
703,5390,75,13:1,14:1,5390-75
704,5390,95,10:1,14:1,5390-95
705,5390,115,12:1,14:1,5390-115
706,5390,120,13:1,14:1,5390-120
707,5390,135,13:1,14:1,5390-135
708,5390,160,11:1,14:1,5390-160
709,5390,176,8:1,14:1,5390-176
710,5390,230,13:1,14:1,5390-230
711,5390,260,13:1,14:1,5390-260
712,5390,270,13:1,14:1,5390-270
713,5390,280,15:1,14:1,5390-280
714,250,20,12:1,14:1,250-20
715,250,25,14:1,14:1,250-25
716,250,50,16:1,14:1,250-50
717,250,55,14:1,14:1,250-55
718,250,60,14:1,14:1,250-60
719,250,70,14:1,14:1,250-70
720,250,80,15:1,14:1,250-80
721,250,90,19:1,14:1,250-90
722,250,100,21:1,14:1,250-100
723,410,20,12:1,12:1,410-20
724,410,30,11:1,12:1,410-30
725,410,50,12:1,12:1,410-50
726,410,60,11:1,12:1,410-60
727,410,80,10:1,12:1,410-80
728,410,100,12:1,12:1,410-100
729,410,110,14:1,12:1,410-110
730,410,120,16:1,12:1,410-120
731,410,130,10:1,12:1,410-130
732,410,140,11:1,12:1,410-140
733,410,150,9:1,12:1,410-150
734,660,50,11:1,12:1,660-50
735,660,60,11:1,12:1,660-60
736,660,70,14:1,12:1,660-70
737,660,80,15:1,12:1,660-80
738,660,110,14:1,12:1,660-110
739,660,120,12:1,12:1,660-120
740,660,300,12:1,12:1,660-300
741,760,50,12:1,10:1,760-50
742,760,58,10:1,10:1,760-58
743,760,60,8:1,10:1,760-60
744,760,90,12:1,10:1,760-90
745,1210,30,12:1,12:1,1210-30
746,1210,35,12:1,12:1,1210-35
747,1210,50,13:1,12:1,1210-50
748,1210,60,11:1,12:1,1210-60
749,1210,70,11:1,12:1,1210-70
750,1210,80,12:1,12:1,1210-80
751,1210,90,10:1,12:1,1210-90
752,1210,93,13:1,12:1,1210-93
753,1210,95,10:1,12:1,1210-95
754,1210,100,13:1,12:1,1210-100
755,1210,107,11:1,12:1,1210-107
756,1210,110,13:1,12:1,1210-110
757,1210,120,11:1,12:1,1210-120
758,1210,130,11:1,12:1,1210-130
759,1210,135,11:1,12:1,1210-135
760,1210,140,11:1,12:1,1210-140
761,1210,150,9:1,12:1,1210-150
762,1210,170,12:1,12:1,1210-170
763,1210,190,11:1,12:1,1210-190
764,1210,210,13:1,12:1,1210-210
765,1387,20,4:1,1:1,1387-20
766,1387,30,6:1,1:1,1387-30
767,1387,40,3:1,1:1,1387-40
768,1390,20,13:1,12:1,1390-20
769,1390,50,12:1,12:1,1390-50
770,1390,70,14:1,12:1,1390-70
771,1390,80,10:1,12:1,1390-80
772,1400,50,7:1,7:1,1400-50
773,1465,5,13:1,10:1,1465-5
774,1465,30,10:1,10:1,1465-30
