,DISTRICT_CODE,DISTRICT_NAME,SCHOOL_CODE,SCHOOL_NAME,GRADESPAN,DS_CODE
831,3570,NEWARK CITY,80,WEST SIDE HIGH SCHOOL,08-12,3570-80
832,3570,NEWARK CITY,87,AMERICAN HISTORY HIGH SCHOOL,07-12,3570-87
833,3570,NEWARK CITY,170,ABINGTON AVENUE SCHOOL,PK-08,3570-170
834,3570,NEWARK CITY,200,ANN STREET SCHOOL,PK-08,3570-200
835,3570,NEWARK CITY,220,B.R.I.C.K. AVON ACADEMY,PK-08,3570-220
836,3570,NEWARK CITY,225,BELMONT RUNYON ELEMENTARY SCHOOL,PK-08,3570-225
837,3570,NEWARK CITY,270,BRANCH BROOK SCHOOL,PK-04,3570-270
838,3570,NEWARK CITY,290,BRUCE STREET SCHOOL FOR THE DEAF,PK-08,3570-290
839,3570,NEWARK CITY,301,LUIS MUÑOS MARIN ELEMENTARY SCHOOL,PK-08,3570-301
840,3570,NEWARK CITY,302,NEWARK LEADERSHIP ACADEMY,09-12,3570-302
841,3570,NEWARK CITY,304,BARD EARLY COLLEGE HIGH SCHOOL,09-12,3570-304
842,3570,NEWARK CITY,306,EARLY CHILDHOOD SCHOOL - SOUTH,PK-PK,3570-306
843,3570,NEWARK CITY,307,EAGLE ACADEMY FOR YOUNG MEN OF NEWARK,05-12,3570-307
844,3570,NEWARK CITY,308,EARLY CHILDHOOD SCHOOL - WEST,PK-PK,3570-308
845,3570,NEWARK CITY,310,CAMDEN STREET ELEMENTARY SCHOOL,PK-08,3570-310
846,3570,NEWARK CITY,312,BARRINGER ACADEMY OF S.T.E.A.M.,09-12,3570-312
847,3570,NEWARK CITY,314,EARLY CHILDHOOD SCHOOL - CENTRAL,PK-PK,3570-314
848,3570,NEWARK CITY,316,EARLY CHILDHOOD SCHOOL - NORTH,PK-PK,3570-316
849,3570,NEWARK CITY,317,SALOME UREÑA ELEMENTARY SCHOOL,PK-04,3570-317
850,3570,NEWARK CITY,330,CHANCELLOR AVENUE SCHOOL,PK-08,3570-330
851,3570,NEWARK CITY,350,CLEVELAND EIGHTEENTH AVENUE SCHOOL,PK-08,3570-350
852,3570,NEWARK CITY,370,B.R.I.C.K. PESHINE ACADEMY,PK-08,3570-370
