GEO.id,,GEO.display-label,HC01_EST_VC13,HC01_MOE_VC13,HC02_EST_VC13,HC02_MOE_VC13,HC03_EST_VC13,HC03_MOE_VC13,HC04_EST_VC13,HC04_MOE_VC13
Id,,Geography,Households; Estimate; Median income (dollars),Households; Margin of Error; Median income (dollars),Families; Estimate; Median income (dollars),Families; Margin of Error; Median income (dollars),Married-couple families; Estimate; Median income (dollars),Married-couple families; Margin of Error; Median income (dollars),Nonfamily households; Estimate; Median income (dollars),Nonfamily households; Margin of Error; Median income (dollars)
8600000US08525,,ZCTA5 08525,126141,13125,143646,15069,152574,5775,66641,18178
8600000US08527,,ZCTA5 08527,87995,5044,103422,3844,110577,4885,41356,6181
8600000US08528,,ZCTA5 08528,-,**,-,**,-,**,-,**
8600000US08530,,ZCTA5 08530,94740,9236,123333,19493,138849,16916,68182,18302
8600000US08533,,ZCTA5 08533,108185,12279,120286,10945,126429,11720,31737,11636
8600000US08534,,ZCTA5 08534,126108,11429,150886,16473,167292,22074,53537,3396
8600000US08535,,ZCTA5 08535,174205,12648,189050,27828,192981,29308,85958,14282
8600000US08536,,ZCTA5 08536,98883,6627,114400,7016,122201,9342,65875,8731
8600000US08540,,ZCTA5 08540,135975,7463,179360,7694,194740,11315,60825,7780
8600000US08542,,ZCTA5 08542,72977,16881,94718,35907,130577,33665,52262,14893
8600000US08550,,ZCTA5 08550,200049,10846,208419,9319,210606,10436,51823,12933
8600000US08551,,ZCTA5 08551,136765,15417,168438,21721,176308,10819,46875,22748
8600000US08553,,ZCTA5 08553,112917,12012,119250,14636,119375,16869,41250,20686
8600000US08554,,ZCTA5 08554,81273,4925,86955,8690,95528,8685,47337,15050
8600000US08555,,ZCTA5 08555,100556,11022,116250,26643,125357,25780,-,**
8600000US08558,,ZCTA5 08558,201964,20922,219115,23407,229900,24447,53500,24502
8600000US08559,,ZCTA5 08559,124088,15818,142917,14078,144861,14093,61793,21550
8600000US08560,,ZCTA5 08560,109973,14381,118482,21371,128793,26276,70703,28546
8600000US08561,,ZCTA5 08561,122697,104104,123684,66106,-,**,-,**
8600000US08562,,ZCTA5 08562,64464,7446,78233,8589,92009,9622,33646,13302
8600000US08608,,ZCTA5 08608,14740,8854,57228,17654,97857,73483,11645,1802
8600000US08609,,ZCTA5 08609,31881,2676,38987,5802,49470,9532,15137,2568
8600000US08610,,ZCTA5 08610,60620,3677,68534,5714,78805,4219,44231,5939
8600000US08611,,ZCTA5 08611,37248,3143,39500,3354,51571,11064,24763,5604
8600000US08618,,ZCTA5 08618,41920,3163,59543,6827,98445,7630,25517,4738
8600000US08619,,ZCTA5 08619,74056,7388,98263,5871,105481,6167,41530,3818
8600000US08620,,ZCTA5 08620,92629,8172,106910,5390,115729,17377,41893,9792
8600000US08628,,ZCTA5 08628,86315,10611,100826,11240,113690,16967,60938,14172
